time,flex_load_kwh,ev_demand_kwh,pv_gen_kwh,pv_used_kwh,batt_discharge_kwh,batt_charge_kwh,bess_soc_kwh,grid_energy_kwh,grid_cost_pln,co2_emission_kg
2024-08-22 21:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-22 22:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-22 23:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 00:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 01:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 02:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 03:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 04:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 05:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 06:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 07:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 08:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 09:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 10:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 11:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 12:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 13:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 14:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 15:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 16:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 17:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 18:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 19:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 20:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 21:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 22:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-23 23:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 00:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 01:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 02:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 03:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 04:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 05:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 06:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 07:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 08:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 09:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 10:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 11:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 12:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 13:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 14:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 15:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 16:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 17:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 18:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 19:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 20:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 21:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 22:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-24 23:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 00:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 01:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 02:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 03:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 04:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 05:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 06:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 07:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 08:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 09:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 10:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 11:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 12:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 13:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 14:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 15:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 16:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 17:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 18:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 19:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 20:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 21:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 22:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-25 23:00:00+02:00,,0,,,0,0,0,0,,0
2024-08-26 00:00:00+02:00,,0,0,0,0,0,0,0,0,0
2024-08-26 01:00:00+02:00,,0,0,0,0,0,0,0,0,0
2024-08-26 02:00:00+02:00,,0,0,0,0,0,0,0,0,0
2024-08-26 03:00:00+02:00,,0,0,0,0,0,0,0,0,0
2024-08-26 04:00:00+02:00,,0,0,0,0,0,0,0,0,0
2024-08-26 05:00:00+02:00,,0,0,0,0,0,0,0,0,0
